file,avg_perplexity,avg_style,avg_consistency,avg_accuracy,avg_ethics,average_gpt_score,average_binomial_z_score
glo_gamma=0.75_delta=1_tend=300_sampled_100.json,11.438333797454835,8.51,8.83,7.51,8.84,8.4225,0.862807438384
glo_gamma=0.75_delta=1_tend=40_sampled_100.json,10.875667488574981,8.41,8.68,7.36,8.63,8.27,0.9240601168543082
glo_gamma=0.75_delta=1_tend=5_sampled_100.json,10.440819163322448,8.3,8.6,7.31,8.52,8.1825,-0.3105407487295755
glo_gamma=0.75_delta=1_tend=80_sampled_100.json,11.234557554721832,8.39,8.69,7.35,8.58,8.2525,0.9551353334971964
glo_gamma=0.75_delta=2_tend=10_sampled_100.json,10.457079818248749,8.46,8.93,7.52,8.88,8.4475,0.03959392952159042
glo_gamma=0.75_delta=2_tend=160_sampled_100.json,11.084572180509568,8.26,8.68,7.38,8.54,8.215,1.4411848539450585
glo_gamma=0.75_delta=2_tend=20_sampled_100.json,11.007216744422912,8.3,8.8,7.38,8.84,8.33,0.6892176477635167
glo_gamma=0.75_delta=2_tend=300_sampled_100.json,11.319054906368256,8.37,8.88,7.27,8.7,8.305,1.418448878574055
glo_gamma=0.75_delta=2_tend=40_sampled_100.json,11.054233334064484,8.48,8.98,7.64,9.03,8.5325,1.4676349156701127
glo_gamma=0.75_delta=2_tend=5_sampled_100.json,10.346680476665497,8.4,8.76,7.36,8.76,8.32,-0.17841349089656958
glo_gamma=0.75_delta=2_tend=80_sampled_100.json,12.624864013195038,8.29,8.72,7.38,8.71,8.275,1.5196786596753034
glo_gamma=0.75_delta=4_tend=10_sampled_100.json,12.106497468948364,8.44,8.93,7.51,8.9,8.445,0.17550798723769692
glo_gamma=0.75_delta=4_tend=160_sampled_100.json,12.953065195468941,8.3,8.68,7.24,8.79,8.2525,2.1812521223712085
glo_gamma=0.75_delta=4_tend=20_sampled_100.json,11.820475897789002,8.41,8.9,7.77,8.97,8.5125,0.8887385530311923
glo_gamma=0.75_delta=4_tend=300_sampled_100.json,13.29927805185318,8.32,8.81,7.42,8.72,8.3175,2.212465523043849
glo_gamma=0.75_delta=4_tend=40_sampled_100.json,12.293274855613708,8.3,8.63,7.35,8.54,8.205,2.173846225724104
glo_gamma=0.75_delta=4_tend=5_sampled_100.json,10.951629951000214,8.5,8.85,7.4,8.75,8.375,-0.14924150998841668
glo_gamma=0.75_delta=4_tend=80_sampled_100.json,12.890271472930909,8.19,8.6,7.27,8.56,8.155,2.187683497717902
glo_gamma=0.75_delta=8_tend=10_sampled_100.json,10.467600457668304,8.52,9.0,7.5,8.91,8.4825,0.3128723190792423
glo_gamma=0.75_delta=8_tend=160_sampled_100.json,14.843636454957904,8.09,8.37,6.9,8.19,7.8875,2.950801762209388
glo_gamma=0.75_delta=8_tend=20_sampled_100.json,12.149040626757072,8.46,8.91,7.6,8.69,8.415,1.1187512071911485
glo_gamma=0.75_delta=8_tend=300_sampled_100.json,13.824400020368172,8.43,8.77,7.46,8.88,8.385,3.0955843298527257
glo_gamma=0.75_delta=8_tend=40_sampled_100.json,15.605427623999239,8.07,8.38,7.05,8.34,7.96,2.8216421931492204
glo_gamma=0.75_delta=8_tend=5_sampled_100.json,10.538635942935944,8.48,8.93,7.61,8.74,8.44,-0.15522834454398737
glo_gamma=0.75_delta=8_tend=80_sampled_100.json,13.617087334093421,8.18,8.53,7.24,8.78,8.1825,3.038789928087777
glo_gamma=0.9_delta=0.5_tend=10_sampled_100.json,10.50379312992096,8.47,8.81,7.6,8.97,8.4625,0.024669606853981795
